stu_id,stuf_name,stul_name,stu_add,stu_dob,stu_email,stu_gender
28,Shawn,Osgodby,Fuli,1987-07-31,sosgodbyr@drupal.org,Male
29,Wilone,Iacomelli,Zarszyn,1999-09-09,wiacomellis@nba.com,Female
30,Bron,Greguoli,Livorno,1989-09-01,bgreguolit@ning.com,Male
31,Rasla,Bertelsen,Cabanas,1995-07-19,rbertelsenu@ezinearticles.com,Female
32,Leif,Balke,Daoxian,1987-10-01,lbalkev@pcworld.com,Female
33,Cinda,Lainton,Przelewice,1999-01-14,claintonw@ftc.gov,Male
34,Jemmie,Dodd,Onsala,1999-07-16,jdoddx@constantcontact.com,Female
35,Luelle,McClounan,Mungui,1999-03-11,lmcclounany@cbc.ca,Female
36,Jackie,Munkley,Idvor,1994-04-21,jmunkleyz@booking.com,Female
37,Cobbie,Halburton,Onsala,1990-03-21,chalburton10@marriott.com,Female
38,Karalee,Davidek,Przelewice,1999-08-22,kdavidek11@sun.com,Female
39,Steward,Normington,Minyat an Nasr,1994-07-05,snormington12@delicious.com,Female
40,Kittie,Firbanks,Areia Branca,1988-11-28,kfirbanks13@behance.net,Male
41,Tricia,Sagar,Areia Branca,1986-04-27,tsagar14@prlog.org,Female
42,Madonna,Graine,Tabora,1991-09-30,mgraine15@tuttocitta.it,Female
43,Vanda,Ropp,Minyat an Nasr,1988-12-20,vropp16@icq.com,Male
44,Bride,Tyreman,Onsala,1986-07-25,btyreman17@nydailynews.com,Male
45,Batholomew,Scotter,Daoxian,1994-11-04,bscotter18@lycos.com,Male
46,Donia,Bladon,Areia Branca,1996-07-15,dbladon19@g.co,Male
47,Briana,Attock,Onsala,1994-06-29,battock1a@bluehost.com,Female
48,Clerissa,Dwelley,Livorno,1994-03-20,cdwelley1b@telegraph.co.uk,Female
49,Ronni,Gockeler,Livorno,1999-07-20,rgockeler1c@nhs.uk,Female
50,Jonah,Weems,Zarszyn,1986-05-27,jweems1d@parallels.com,Female
51,Beauregard,Form,Livorno,1995-09-01,bform1e@bbc.co.uk,Male
52,Boniface,McNay,Kabir,1991-04-19,bmcnay1f@tripod.com,Female
53,Benni,Coatman,Przelewice,1996-04-24,bcoatman1g@engadget.com,Female
54,Corilla,Truckell,Livorno,1992-01-13,ctruckell1h@unblog.fr,Male
55,Graham,Walkingshaw,Akim Swedru,1994-07-07,gwalkingshaw1i@flickr.com,Female
56,Verney,Benoix,Kabir,1988-02-19,vbenoix1j@pcworld.com,Female
57,Missie,Dunk,Fuli,1992-07-12,mdunk1k@wordpress.com,Female
58,Asa,Janiszewski,Akim Swedru,1997-05-26,ajaniszewski1l@sogou.com,Female
59,Danika,Nelsey,Idvor,1997-04-13,dnelsey1m@slashdot.org,Male
60,Rollins,Wenban,Onsala,1998-06-23,rwenban1n@free.fr,Male
61,Blythe,Nealey,Areia Branca,1990-12-31,bnealey1o@wufoo.com,Female
62,Merissa,Jakaway,Fuli,1997-06-22,mjakaway1p@pagesperso-orange.fr,Male
63,Val,Gothrup,Areia Branca,1989-02-22,vgothrup1q@devhub.com,Female
64,Franz,Damrell,Minyat an Nasr,1990-06-13,fdamrell1r@bbc.co.uk,Female
65,Nico,Walrond,Fuli,1999-03-21,nwalrond1s@paypal.com,Female
66,Sawyer,Kiehl,Cabanas,1998-04-21,skiehl1t@wired.com,Female
67,Nancie,Selland,Zarszyn,1986-03-02,nselland1u@digg.com,Male
68,Eddy,Flintoff,Minyat an Nasr,1994-10-16,eflintoff1v@scribd.com,Female
69,Ashlen,Abrahamson,Zuitou,1999-08-02,aabrahamson1w@ow.ly,Female
70,Dipu,Sharma,Przelewice,1995-03-12,saberdalgy1x@ftc.gov,Male
